alpha: ,gamma: , epsilon: , Win rate, Loss Rate ,,,,
0.04,1,0.51,0.401561782,0.513615517,,,,
0.04,1,0.52,0.40153553,0.513642693,,,,
0.04,1,0.53,0.401473714,0.513717429,,,,
0.04,1,0.54,0.401459544,0.51372906,,,,
0.04,1,0.55,0.401462216,0.513723011,,,,
0.04,1,0.56,0.401477904,0.51371813,,,,
0.04,1,0.57,0.401478531,0.513719492,,,,
0.04,1,0.58,0.40147662,0.513722254,,,,
0.04,1,0.59,0.401430618,0.51377809,,,,
0.04,1,0.6,0.401408403,0.513808123,,,,
0.04,1,0.61,0.401403911,0.513812011,,,,
0.04,1,0.62,0.401422284,0.513815877,,,,
0.04,1,0.63,0.401446111,0.5137725,,,,
0.04,1,0.64,0.401405817,0.513825208,,,,
0.04,1,0.65,0.401410221,0.51381105,,,,
0.04,1,0.66,0.401421488,0.513816804,,,,
0.04,1,0.67,0.401388187,0.513860989,,,,
0.04,1,0.68,0.401362192,0.513893973,,,,
0.04,1,0.69,0.401337158,0.513919945,,,,
0.04,1,0.7,0.401316894,0.513959673,,,,
0.04,1,0.71,0.401325543,0.513950815,,,,
0.04,1,0.72,0.401322493,0.51395393,,,,
0.04,1,0.73,0.401352703,0.513915676,,,,
0.04,1,0.74,0.401338544,0.513931806,,,,
0.04,1,0.75,0.401337097,0.513940054,,,,
0.04,1,0.76,0.401337534,0.513945308,,,,
0.04,1,0.77,0.401306952,0.513976203,,,,
0.04,1,0.78,0.4013296,0.5139544,,,,
0.04,1,0.79,0.401324202,0.513954255,,,,
0.04,1,0.8,0.401352785,0.513912467,,,,
0.04,1,0.81,0.401313228,0.513948413,,,,
0.04,1,0.82,0.401324274,0.513941953,,,,
0.04,1,0.83,0.401314737,0.513941579,,,,
0.04,1,0.84,0.401329921,0.513932021,,,,
0.04,1,0.85,0.401378272,0.513885079,,,,
0.04,1,0.86,0.401409138,0.513856658,,,,
0.04,1,0.87,0.401414063,0.513848698,,,,
0.04,1,0.88,0.401392727,0.513863377,,,,
